آخذ,گیرنده
آخر,پایان;انجام;پسین;فرجام;واپسین
آخرالامر,سرانجام
آخرت,رستاخیز;انجمان;آنجهان;پسین‌سرای;روز بازپسین
آخرین,واپسین;پایانی;پسین;پسینیان;دگران
آذان,گوش‌ها
آرشیو,بایگانی
آزمایشات,آزمایش‌ها
آس,تکخال
آسانسور,بالابر;آسان‌بر;آسان‌رو;بالارو
آسم,تنگدم;تنگ‌دم;ربو
آل بویه,خاندان بویه
آلت قتاله,کشت‌افزار;کشت‌افزار
آنطور,آنگونه;آنسان
آنوقت,آنگاه;آن هنگام;آنزمان;آنهنگام;آنوخت
ائتلاف,همایه;هم‌آوردی;یکی شدن
ابتدایی‌ترین,ساده‌ترین;نخستین
ابتکار,نوآوری;نوآوردگی;نویابی
ابن سینا,پور سینا
اتحاد,همبستگی;هماهنگی;یک‌پارچگی;یگانگی
اتفاق افتادن,رخ دادن;روی دادن
اتفاقات,رویدادها
اتوماتیک,خودکار;خودبخود
اجتناب ناپذیر,پرهیزناپذیر;پیشگیری ناپذیر;دوری ناپذیر;گزیرستنی;ناچار;ناگزیر
اجرت,دستمزد;مزد
اجناس,کالاها
اجیر,مزدور;مزدبگیر;دست‌نشانده
احترام,ارج;آزرمیدن;بزرگداری;بزرگداشت;پاس;سنایش;شکوهیدن;گرامیداشت
احتمال,شاید;چه بسا;گاس;گاسم;گمان می‌رود;گمانم;انگارکه
احتمالا,گاسم
احتیاج,نیاز;نیازمندی
احتیاط,پروا;دوراندیشی;دوراندیشیدن;هوشیاری
احدی,هیچکسی
احسان,بخشش;مهرورزی;نکوکاری;نکویی;نیکی
احضار کردن,خواستن;خواندن;فراخواندن;فراخواندن
احیانا,اگر;شاید;گاه‌گاهی;گاهگاه
اخاذی,تلکه;زورگیری
اخبار,تازه‌ها;آگاهی‌ها;رسیده‌ها;رویدادها;پیام
اختراع,نوآوری;نخست‌سازی;نوآفرینی;برساخته
اختناق,خفگی;تنگنا;آواکشی;فشار
اخذ,دریافت;فراستاندن;گرفتن
اخلاف,جانشینان;پس‌آیندگان;پسینیان
اخوت,برادری
اخوی,برادر
اخیرالتأسیس,نوبنیاد
ادوار,دوره‌ها
اذان,بانگ نماز
اذیت,آزار;رنج;گزند
ارائه طریق کردن,پیشنهاد کردن
ارائه کرد,پیشنهاد داد;رو کرد
اراضی,زمین‌ها
ارامنه,ارمنیان
اربعین,چله
ارتفاع,بلندی;بالا;بلندا;بلندا;افراشتگی
ارشد,بزرگتر;برتر;ارجمند;سرآمد;فرازین
